Amount,School Year,Region,Grade Level
"7,357",2020-2021,Region III - Central Luzon,Senior High School
"7,536",2020-2021,Region IV-A - CALABARZON,Senior High School
"3,127",2020-2021,Region IV-B - MIMAROPA,Senior High School
"6,696",2020-2021,Region V - Bicol Region,Senior High School
"7,060",2020-2021,Region VI - Western Visayas,Senior High School
"6,144",2020-2021,Region VII - Central Visayas,Senior High School
"4,735",2020-2021,Region VIII - Eastern Visayas,Senior High School
"3,236",2020-2021,Region IX - Zamboanga Peninsula,Senior High School
"3,414",2020-2021,Region X - Northern Mindanao,Senior High School
"3,365",2020-2021,Region XI - Davao Region,Senior High School
"3,691",2020-2021,Region XII - Soccsksargen,Senior High School
"3,106",2020-2021,CARAGA - CARAGA,Senior High School
755,2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Senior High School
"1,258",2020-2021,CAR - Cordillera Administrative Region,Senior High School
"3,997",2020-2021,NCR - National Capital Region,Senior High School
